,FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
0,1,24/03/2006,Falcon 1,20,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1A,167.7431292,9.0477206
1,2,21/03/2007,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2A,167.7431292,9.0477206
2,3,03/08/2008,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1C,167.7431292,9.0477206
3,4,28/09/2008,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2C,167.7431292,9.0477206
4,5,13/07/2009,Falcon 1,165,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin3C,167.7431292,9.0477206
5,6,04/06/2010,Falcon 9,200,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0003,-80.577366,28.5618571
6,7,08/12/2010,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0004,-80.577366,28.5618571
7,8,22/05/2012,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0005,-80.577366,28.5618571
8,9,08/10/2012,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0006,-80.577366,28.5618571
9,10,01/03/2013,Falcon 9,525,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0007,-80.577366,28.5618571
10,11,29/09/2013,Falcon 9,400,ISS,VAFB SLC 4E,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1003,-120.610829,34.632093
11,12,03/12/2013,Falcon 9,400,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1004,-80.577366,28.5618571
12,13,06/01/2014,Falcon 9,677,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1005,-80.577366,28.5618571
13,14,18/04/2014,Falcon 9,500,PO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1006,-80.577366,28.5618571
14,15,14/07/2014,Falcon 9,3170,GTO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1007,-80.577366,28.5618571
15,16,05/08/2014,Falcon 9,3325,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1008,-80.577366,28.5618571
16,17,07/09/2014,Falcon 9,2296,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1011,-80.577366,28.5618571
17,18,21/09/2014,Falcon 9,1316,LEO,CCSFS SLC 40,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1010,-80.577366,28.5618571
18,19,10/01/2015,Falcon 9,4535,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
19,20,11/02/2015,Falcon 9,4428,GTO,CCSFS SLC 40,True Ocean,1,TRUE,FALSE,TRUE,,1,0,B1013,-80.577366,28.5618571
20,21,02/03/2015,Falcon 9,2216,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1014,-80.577366,28.5618571
21,22,14/04/2015,Falcon 9,2395,ISS,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
22,23,27/04/2015,Falcon 9,570,ES-L1,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1016,-80.577366,28.5618571
23,24,28/06/2015,Falcon 9,1954,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
24,25,22/12/2015,Falcon 9,2205,GTO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
25,26,17/01/2016,Falcon 9,1898,ISS,VAFB SLC 4E,False ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
26,27,04/03/2016,Falcon 9,4707,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
27,28,08/04/2016,Falcon 9,2477,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
28,29,06/05/2016,Falcon 9,2034,LEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
29,30,27/05/2016,Falcon 9,553,PO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
30,31,15/06/2016,Falcon 9,5271,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1024,-80.577366,28.5618571
31,32,18/07/2016,Falcon 9,3136,ISS,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
32,33,14/08/2016,Falcon 9,4696,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
33,34,01/09/2016,Falcon 9,3100,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
34,35,14/01/2017,Falcon 9,1800,GTO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
35,36,19/02/2017,Falcon 9,1800,GTO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
36,37,16/03/2017,Falcon 9,2257,ISS,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1030,-80.6039558,28.6080585
37,38,30/03/2017,Falcon 9,4600,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
38,39,01/05/2017,Falcon 9,5500,GTO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
39,40,15/05/2017,Falcon 9,9600,PO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1034,-80.6039558,28.6080585
40,41,03/06/2017,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
41,42,23/06/2017,Falcon 9,5600,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
42,43,25/06/2017,Falcon 9,5300,GTO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
43,44,05/07/2017,Falcon 9,,LEO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1037,-80.6039558,28.6080585
44,45,14/08/2017,Falcon 9,6070,GTO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
45,46,24/08/2017,Falcon 9,2708,ISS,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
46,47,07/09/2017,Falcon 9,3669,GTO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
47,48,09/10/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
48,49,11/10/2017,Falcon 9,6761,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
49,50,30/10/2017,Falcon 9,2910,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
50,51,15/12/2017,Falcon 9,475,SSO,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
51,52,23/12/2017,Falcon 9,4990,LEO,VAFB SLC 4E,True Ocean,2,TRUE,TRUE,FALSE,,3,1,B1036,-120.610829,34.632093
52,53,08/01/2018,Falcon 9,9600,PO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
53,54,31/01/2018,Falcon 9,5200,GTO,CCSFS SLC 40,True Ocean,2,TRUE,TRUE,TRUE,,3,1,B1032,-80.577366,28.5618571
54,55,06/02/2018,Falcon Heavy,3700,GTO,KSC LC 39A,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,3,0,B1033,-80.6039558,28.6080585
55,56,22/02/2018,Falcon 9,2205,ISS,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb90a834e7c8,2,1,B1025,-120.610829,34.632093
56,57,06/03/2018,Falcon 9,9600,PO,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,2,1,B1023,-80.577366,28.5618571
57,58,30/03/2018,Falcon 9,,LEO,VAFB SLC 4E,None None,2,TRUE,TRUE,FALSE,,3,1,B1038,-120.610829,34.632093
58,59,02/04/2018,Falcon 9,4230,GTO,CCSFS SLC 40,None None,1,TRUE,FALSE,TRUE,,4,0,B1044,-80.577366,28.5618571
59,60,18/04/2018,Falcon 9,1350,HCO,CCSFS SLC 40,None None,2,TRUE,TRUE,TRUE,,4,1,B1041,-80.577366,28.5618571
60,61,11/05/2018,Falcon 9,1350,SSO,KSC LC 39A,None None,2,TRUE,TRUE,TRUE,,4,1,B1039,-80.6039558,28.6080585
61,62,22/05/2018,Falcon 9,800,SSO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,1,B1045,-120.610829,34.632093
62,63,04/06/2018,Falcon 9,6092,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
63,64,29/06/2018,Falcon 9,9600,PO,CCSFS SLC 40,None None,2,TRUE,TRUE,FALSE,,4,1,B1043,-80.577366,28.5618571
64,65,22/07/2018,Falcon 9,2760,ISS,CCSFS SLC 40,None None,2,FALSE,TRUE,FALSE,,4,1,B1040,-80.577366,28.5618571
65,66,25/07/2018,Falcon 9,350,HEO,VAFB SLC 4E,None None,2,FALSE,TRUE,FALSE,,4,1,B1045,-120.610829,34.632093
66,67,07/08/2018,Falcon 9,3750,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
67,68,10/09/2018,Falcon 9,4300,PO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,4,B1048,-80.577366,28.5618571
68,69,08/10/2018,Falcon 9,1160,PO,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-120.610829,34.632093
69,70,15/11/2018,Falcon 9,5383.85,GTO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
70,71,03/12/2018,Falcon 9,2410,ISS,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
71,72,05/12/2018,Falcon 9,7076,GTO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
72,73,23/12/2018,Falcon 9,9600,PO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,3,B1046,-80.577366,28.5618571
73,74,11/01/2019,Falcon 9,5800,GTO,VAFB SLC 4E,False RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,5,0,B1050,-120.610829,34.632093
74,75,22/02/2019,Falcon 9,7060,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,5,0,B1054,-80.577366,28.5618571
75,76,02/03/2019,Falcon 9,2800,SSO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.6039558,28.6080585
76,77,11/04/2019,Falcon Heavy,3000,GTO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
77,78,04/05/2019,Falcon 9,4000,SSO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
78,79,24/05/2019,Falcon 9,2573,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,0,B1055,-80.577366,28.5618571
79,80,12/06/2019,Falcon 9,4400,MEO,VAFB SLC 4E,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,5,6,B1052,-120.610829,34.632093
80,81,25/06/2019,Falcon Heavy,9600,PO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb90a834e7c8,5,1,B1053,-80.6039558,28.6080585
81,82,25/07/2019,Falcon 9,5000,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
82,83,06/08/2019,Falcon 9,60,GTO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
83,84,11/11/2019,Falcon 9,585,GTO,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,12,B1051,-80.577366,28.5618571
84,85,05/12/2019,Falcon 9,12259,ISS,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,0,B1057,-80.577366,28.5618571
85,86,17/12/2019,Falcon 9,6000,GTO,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,6,B1052,-80.577366,28.5618571
86,87,07/01/2020,Falcon 9,2482,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb90a834e7c8,5,1,B1053,-80.577366,28.5618571
87,88,19/01/2020,Falcon 9,13200,VLEO,KSC LC 39A,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.6039558,28.6080585
88,89,29/01/2020,Falcon 9,1425,SSO,CCSFS SLC 40,None None,3,FALSE,TRUE,FALSE,,5,2,B1047,-80.577366,28.5618571
89,90,17/02/2020,Falcon 9,600,MEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
90,91,07/03/2020,Falcon 9,1668,LEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
91,92,18/03/2020,Falcon 9,180,LEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.6039558,28.6080585
92,93,22/04/2020,Falcon 9,70,LEO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
93,94,30/05/2020,Falcon 9,138,LEO,KSC LC 39A,None None,4,FALSE,TRUE,FALSE,,5,3,B1046,-80.6039558,28.6080585
94,95,04/06/2020,Falcon 9,86,LEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
95,96,13/06/2020,Falcon 9,71,LEO,CCSFS SLC 40,False ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
96,97,30/06/2020,Falcon 9,5,LEO,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
97,98,20/07/2020,Falcon 9,4,LEO,CCSFS SLC 40,False ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
98,99,07/08/2020,Falcon 9,5,LEO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
99,100,18/08/2020,Falcon 9,4,LEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
100,101,30/08/2020,Falcon 9,2,LEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
