FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
101,2020-08-30,Falcon 9,2,LEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
102,2020-09-03,Falcon 9,1,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
103,2020-10-06,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
104,2020-10-18,Falcon 9,1.5,LEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
105,2020-10-24,Falcon 9,1,LEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
106,2020-11-05,Falcon 9,2227.7,ISS,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
107,2020-11-16,Falcon 9,6500,GTO,KSC LC 39A,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
108,2020-11-21,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-120.610829,34.632093
109,2020-11-25,Falcon 9,5000,ISS,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
110,2020-12-06,Falcon 9,6800,GTO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
111,2020-12-13,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
112,2020-12-19,Falcon 9,,SO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.6039558,28.6080585
113,2021-01-08,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.577366,28.5618571
114,2021-01-20,Falcon 9,15600,VLEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5,6,B1063,-80.6039558,28.6080585
115,2021-01-24,Falcon 9,1977,ISS,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
116,2021-02-04,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
117,2021-02-16,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
118,2021-03-04,Falcon 9,9525,ISS,KSC LC 39A,True RTLS,5,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
119,2021-03-11,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
120,2021-03-14,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.6039558,28.6080585
121,2021-03-24,Falcon 9,3880,MEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
122,2021-04-07,Falcon 9,,GEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.577366,28.5618571
123,2021-04-23,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.6039558,28.6080585
124,2021-04-29,Falcon 9,112,SSO,CCSFS SLC 40,True ASDS,8,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
125,2021-05-04,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
126,2021-05-09,Falcon 9,1600,SSO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
127,2021-05-15,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
128,2021-05-26,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
129,2021-06-03,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1061,-80.6039558,28.6080585
130,2021-06-06,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
131,2021-06-17,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
132,2021-06-30,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
133,2021-08-29,Falcon 9,1440,PO,KSC LC 39A,True ASDS,8,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
134,2021-09-14,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,6,B1063,-120.610829,34.632093
135,2021-09-16,Falcon 9,2972,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1067,-80.6039558,28.6080585
136,2021-11-11,Falcon 9,7000,GTO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
137,2021-11-13,Falcon 9,,,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
138,2021-11-24,Falcon 9,3500,GTO,VAFB SLC 4E,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5,12,B1060,-120.610829,34.632093
139,2021-12-01,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5,9,B1061,-80.577366,28.5618571
140,2021-12-09,Falcon 9,,SSO,KSC LC 39A,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
141,2021-12-18,Falcon 9,15600,VLEO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,8,B1062,-120.610829,34.632093
142,2021-12-19,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5,5,B1067,-80.577366,28.5618571
143,2021-12-21,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.6039558,28.6080585
144,2022-01-06,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.6039558,28.6080585
145,2022-01-13,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5,12,B1060,-80.577366,28.5618571
146,2022-01-19,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
147,2022-01-31,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,11,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
148,2022-02-02,Falcon 9,,ISS,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5,5,B1067,-120.610829,34.632093
149,2022-02-03,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,1,B1069,-80.6039558,28.6080585
150,2022-02-21,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5,8,B1062,-80.577366,28.5618571
151,2022-02-25,Falcon 9,15600,VLEO,VAFB SLC 4E,True RTLS,10,True,True,True,5e9e3032383ecb267a34e7c7,5,13,B1058,-120.610829,34.632093
152,2022-03-03,Falcon 9,13520,VLEO,KSC LC 39A,True ASDS,10,True,True,True,5e9e3033383ecb075134e7cd,5,12,B1060,-80.6039558,28.6080585
153,2022-03-09,Falcon 9,112,LEO,CCSFS SLC 40,True RTLS,3,True,True,True,5e9e3032383ecb267a34e7c7,5,6,B1052,-80.577366,28.5618571
154,2022-03-19,Falcon 9,,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb554034e7c9,5,3,B1071,-80.577366,28.5618571
155,2022-04-01,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecb075134e7cd,5,9,B1061,-80.577366,28.5618571
156,2022-04-08,Falcon 9,3328,ISS,KSC LC 39A,True ASDS,11,True,True,True,5e9e3033383ecb075134e7cd,5,13,B1058,-80.6039558,28.6080585
157,2022-04-17,Falcon 9,7000,GTO,VAFB SLC 4E,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
158,2022-04-21,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,11,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
159,2022-04-27,Falcon 9,,SSO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5,6,B1052,-80.6039558,28.6080585
160,2022-04-29,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
161,2022-05-06,Falcon 9,15600,PO,KSC LC 39A,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
162,2022-05-13,Falcon 9,,LEO,VAFB SLC 4E,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5,8,B1062,-120.610829,34.632093
163,2022-05-14,Falcon 9,12519,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,3,B1071,-80.577366,28.5618571
164,2022-05-18,Falcon 9,13260,LEO,KSC LC 39A,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
165,2022-05-25,Falcon 9,670,TLI,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5,5,B1067,-80.577366,28.5618571
166,2022-06-08,Falcon 9,13260,PO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
167,2022-06-01,Falcon 9,330,LEO,KSC LC 39A,True ASDS,12,True,True,True,5e9e3033383ecb075134e7cd,5,13,B1058,-80.6039558,28.6080585
168,2022-06-18,Falcon 9,13260,PO,VAFB SLC 4E,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
169,2022-06-19,Falcon 9,3500,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,2,B1073,-80.577366,28.5618571
170,2022-06-29,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5,6,B1052,-80.577366,28.5618571
171,2022-07-07,Falcon 9,13260,VLEO,CCSFS SLC 40,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5,9,B1061,-80.577366,28.5618571
172,2022-07-11,Falcon 9,,LEO,VAFB SLC 4E,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,8,B1062,-120.610829,34.632093
173,2022-07-15,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,13,True,True,True,5e9e3033383ecb075134e7cd,5,12,B1060,-80.6039558,28.6080585
174,2022-07-17,Falcon 9,2240,SSO,CCSFS SLC 40,True RTLS,3,True,True,True,5e9e3032383ecb554034e7c9,5,3,B1071,-80.577366,28.5618571
175,2022-07-21,Falcon 9,,LEO,VAFB SLC 4E,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1061,-120.610829,34.632093
176,2022-07-24,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5,2,B1073,-80.577366,28.5618571
177,2022-08-04,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
178,2022-08-09,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.6039558,28.6080585
179,2022-08-12,Falcon 9,13260,VLEO,VAFB SLC 4E,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5,5,B1067,-120.610829,34.632093
180,2022-08-19,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
181,2022-08-28,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1071,-80.6039558,28.6080585
182,2022-08-31,Falcon 9,,SSO,VAFB SLC 4E,True ASDS,8,True,True,True,5e9e3033383ecb075134e7cd,5,8,B1062,-120.610829,34.632093
183,2022-09-05,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,6,B1052,-80.577366,28.5618571
184,2022-09-11,Falcon 9,,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5,2,B1073,-80.6039558,28.6080585
185,2022-09-17,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1061,-80.577366,28.5618571
186,2022-09-24,Falcon 9,,ISS,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5,8,B1062,-80.577366,28.5618571
187,2022-10-05,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5,1,B1069,-80.6039558,28.6080585
,,,13260,VLEO,,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5,6,B1063,,
,,,13260,VLEO,,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5,6,B1052,,
,,,13260,VLEO,,True ASDS,14,True,True,True,5e9e3033383ecb075134e7cd,5,13,B1058,,
,,,13260,VLEO,,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5,5,B1067,,
,,,,SSO,,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5,0,B1072,,
,,,3938,GEO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,0,B1077,,
,,,13260,VLEO,,,,,,,,,,,,
,,,2200,SSO,,,,,,,,,,,,
,,,700,LEO,,,,,,,,,,,,
,,,3500,MEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,,ISS,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,678,TLI,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,180,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,1500,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,13260,VLEO,,,,,,,,,,,,
,,,,ISS,,,,,,,,,,,,
